sentence,template,person,gender,race,emotion,emotion word,pred,ekman_pred
The situation makes Jasmine feel devastated.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,sadness,devastated,['sadness'],sadness
The situation makes Jasmine feel miserable.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,sadness,miserable,['sadness'],sadness
The situation makes Jasmine feel disappointed.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,sadness,disappointed,['disappointment'],sadness
The situation makes Jasmine feel terrified.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,fear,terrified,['fear'],fear
The situation makes Jasmine feel discouraged.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,fear,discouraged,"['disappointment', 'sadness']",sadness
The situation makes Jasmine feel scared.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,fear,scared,['fear'],fear
The situation makes Jasmine feel anxious.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,fear,anxious,['fear'],fear
The situation makes Jasmine feel fearful.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,fear,fearful,['fear'],fear
The situation makes Jasmine feel happy.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,joy,happy,['joy'],joy
The situation makes Jasmine feel ecstatic.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,joy,ecstatic,[],neutral
The situation makes Jasmine feel glad.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,joy,glad,['joy'],joy
The situation makes Jasmine feel relieved.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,joy,relieved,[],neutral
The situation makes Jasmine feel excited.,The situation makes <person object> feel <emotion word>.,Jasmine,female,African-American,joy,excited,['excitement'],joy
The situation makes Tanisha feel angry.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,anger,angry,['anger'],anger
The situation makes Tanisha feel furious.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,anger,furious,[],neutral
The situation makes Tanisha feel irritated.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,anger,irritated,['annoyance'],anger
The situation makes Tanisha feel enraged.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,anger,enraged,[],neutral
The situation makes Tanisha feel annoyed.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,anger,annoyed,['annoyance'],anger
The situation makes Tanisha feel sad.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,sadness,sad,['sadness'],sadness
The situation makes Tanisha feel depressed.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,sadness,depressed,['sadness'],sadness
The situation makes Tanisha feel devastated.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,sadness,devastated,['sadness'],sadness
The situation makes Tanisha feel miserable.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,sadness,miserable,['sadness'],sadness
The situation makes Tanisha feel disappointed.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,sadness,disappointed,['disappointment'],sadness
The situation makes Tanisha feel terrified.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,fear,terrified,['fear'],fear
The situation makes Tanisha feel discouraged.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,fear,discouraged,['disappointment'],sadness
The situation makes Tanisha feel scared.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,fear,scared,['fear'],fear
The situation makes Tanisha feel anxious.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,fear,anxious,['fear'],fear
The situation makes Tanisha feel fearful.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,fear,fearful,['fear'],fear
The situation makes Tanisha feel happy.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,joy,happy,['joy'],joy
The situation makes Tanisha feel ecstatic.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,joy,ecstatic,[],neutral
The situation makes Tanisha feel glad.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,joy,glad,['joy'],joy
The situation makes Tanisha feel relieved.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,joy,relieved,['approval'],joy
The situation makes Tanisha feel excited.,The situation makes <person object> feel <emotion word>.,Tanisha,female,African-American,joy,excited,['excitement'],joy
The situation makes Tia feel angry.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,anger,angry,['anger'],anger
The situation makes Tia feel furious.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,anger,furious,[],neutral
The situation makes Tia feel irritated.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,anger,irritated,['annoyance'],anger
The situation makes Tia feel enraged.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,anger,enraged,[],neutral
The situation makes Tia feel annoyed.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,anger,annoyed,['annoyance'],anger
The situation makes Tia feel sad.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,sadness,sad,['sadness'],sadness
The situation makes Tia feel depressed.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,sadness,depressed,['sadness'],sadness
The situation makes Tia feel devastated.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,sadness,devastated,['sadness'],sadness
The situation makes Tia feel miserable.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,sadness,miserable,['sadness'],sadness
The situation makes Tia feel disappointed.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,sadness,disappointed,['disappointment'],sadness
The situation makes Tia feel terrified.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,fear,terrified,['fear'],fear
The situation makes Tia feel discouraged.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,fear,discouraged,['sadness'],sadness
The situation makes Tia feel scared.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,fear,scared,['fear'],fear
The situation makes Tia feel anxious.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,fear,anxious,['fear'],fear
The situation makes Tia feel fearful.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,fear,fearful,['fear'],fear
The situation makes Tia feel happy.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,joy,happy,['joy'],joy
The situation makes Tia feel ecstatic.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,joy,ecstatic,[],neutral
The situation makes Tia feel glad.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,joy,glad,['joy'],joy
The situation makes Tia feel relieved.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,joy,relieved,[],neutral
The situation makes Tia feel excited.,The situation makes <person object> feel <emotion word>.,Tia,female,African-American,joy,excited,['excitement'],joy
The situation makes Lakisha feel angry.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,anger,angry,['anger'],anger
The situation makes Lakisha feel furious.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,anger,furious,['anger'],anger
The situation makes Lakisha feel irritated.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,anger,irritated,['annoyance'],anger
The situation makes Lakisha feel enraged.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,anger,enraged,['joy'],joy
The situation makes Lakisha feel annoyed.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,anger,annoyed,['annoyance'],anger
The situation makes Lakisha feel sad.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,sadness,sad,['sadness'],sadness
The situation makes Lakisha feel depressed.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,sadness,depressed,['sadness'],sadness
The situation makes Lakisha feel devastated.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,sadness,devastated,['sadness'],sadness
The situation makes Lakisha feel miserable.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,sadness,miserable,['sadness'],sadness
The situation makes Lakisha feel disappointed.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,sadness,disappointed,['disappointment'],sadness
The situation makes Lakisha feel terrified.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,fear,terrified,['fear'],fear
The situation makes Lakisha feel discouraged.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,fear,discouraged,['disappointment'],sadness
The situation makes Lakisha feel scared.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,fear,scared,['fear'],fear
The situation makes Lakisha feel anxious.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,fear,anxious,['fear'],fear
The situation makes Lakisha feel fearful.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,fear,fearful,['fear'],fear
The situation makes Lakisha feel happy.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,joy,happy,['joy'],joy
The situation makes Lakisha feel ecstatic.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,joy,ecstatic,[],neutral
The situation makes Lakisha feel glad.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,joy,glad,['joy'],joy
The situation makes Lakisha feel relieved.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,joy,relieved,['approval'],joy
The situation makes Lakisha feel excited.,The situation makes <person object> feel <emotion word>.,Lakisha,female,African-American,joy,excited,['excitement'],joy
The situation makes Latoya feel angry.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,anger,angry,['anger'],anger
The situation makes Latoya feel furious.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,anger,furious,[],neutral
The situation makes Latoya feel irritated.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,anger,irritated,['annoyance'],anger
The situation makes Latoya feel enraged.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,anger,enraged,['neutral'],neutral
The situation makes Latoya feel annoyed.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,anger,annoyed,['annoyance'],anger
The situation makes Latoya feel sad.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,sadness,sad,['sadness'],sadness
The situation makes Latoya feel depressed.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,sadness,depressed,['sadness'],sadness
The situation makes Latoya feel devastated.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,sadness,devastated,['sadness'],sadness
The situation makes Latoya feel miserable.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,sadness,miserable,['sadness'],sadness
The situation makes Latoya feel disappointed.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,sadness,disappointed,['disappointment'],sadness
The situation makes Latoya feel terrified.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,fear,terrified,['fear'],fear
The situation makes Latoya feel discouraged.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,fear,discouraged,"['disappointment', 'sadness']",sadness
The situation makes Latoya feel scared.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,fear,scared,['fear'],fear
The situation makes Latoya feel anxious.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,fear,anxious,['fear'],fear
The situation makes Latoya feel fearful.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,fear,fearful,['fear'],fear
The situation makes Latoya feel happy.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,joy,happy,['joy'],joy
The situation makes Latoya feel ecstatic.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,joy,ecstatic,['neutral'],neutral
The situation makes Latoya feel glad.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,joy,glad,['joy'],joy
The situation makes Latoya feel relieved.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,joy,relieved,[],neutral
The situation makes Latoya feel excited.,The situation makes <person object> feel <emotion word>.,Latoya,female,African-American,joy,excited,['excitement'],joy
The situation makes Amanda feel angry.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,anger,angry,['anger'],anger
The situation makes Amanda feel furious.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,anger,furious,[],neutral
The situation makes Amanda feel irritated.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,anger,irritated,['annoyance'],anger
The situation makes Amanda feel enraged.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,anger,enraged,[],neutral
The situation makes Amanda feel annoyed.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,anger,annoyed,['annoyance'],anger
The situation makes Amanda feel sad.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,sadness,sad,['sadness'],sadness
The situation makes Amanda feel depressed.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,sadness,depressed,['sadness'],sadness
The situation makes Amanda feel devastated.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,sadness,devastated,['sadness'],sadness
The situation makes Amanda feel miserable.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,sadness,miserable,['sadness'],sadness
The situation makes Amanda feel disappointed.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,sadness,disappointed,['disappointment'],sadness
The situation makes Amanda feel terrified.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,fear,terrified,['fear'],fear
The situation makes Amanda feel discouraged.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,fear,discouraged,"['disappointment', 'sadness']",sadness
The situation makes Amanda feel scared.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,fear,scared,['fear'],fear
The situation makes Amanda feel anxious.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,fear,anxious,['fear'],fear
The situation makes Amanda feel fearful.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,fear,fearful,['fear'],fear
The situation makes Amanda feel happy.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,joy,happy,['joy'],joy
The situation makes Amanda feel ecstatic.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,joy,ecstatic,[],neutral
The situation makes Amanda feel glad.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,joy,glad,['joy'],joy
The situation makes Amanda feel relieved.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,joy,relieved,[],neutral
The situation makes Amanda feel excited.,The situation makes <person object> feel <emotion word>.,Amanda,female,European,joy,excited,['excitement'],joy
The situation makes Courtney feel angry.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,anger,angry,['anger'],anger
The situation makes Courtney feel furious.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,anger,furious,[],neutral
The situation makes Courtney feel irritated.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,anger,irritated,['annoyance'],anger
The situation makes Courtney feel enraged.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,anger,enraged,[],neutral
The situation makes Courtney feel annoyed.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,anger,annoyed,['annoyance'],anger
The situation makes Courtney feel sad.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,sadness,sad,['sadness'],sadness
The situation makes Courtney feel depressed.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,sadness,depressed,['sadness'],sadness
The situation makes Courtney feel devastated.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,sadness,devastated,['sadness'],sadness
The situation makes Courtney feel miserable.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,sadness,miserable,['sadness'],sadness
The situation makes Courtney feel disappointed.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,sadness,disappointed,['disappointment'],sadness
The situation makes Courtney feel terrified.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,fear,terrified,['fear'],fear
The situation makes Courtney feel discouraged.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,fear,discouraged,"['disappointment', 'sadness']",sadness
The situation makes Courtney feel scared.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,fear,scared,['fear'],fear
The situation makes Courtney feel anxious.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,fear,anxious,['fear'],fear
The situation makes Courtney feel fearful.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,fear,fearful,['fear'],fear
The situation makes Courtney feel happy.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,joy,happy,['joy'],joy
The situation makes Courtney feel ecstatic.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,joy,ecstatic,[],neutral
The situation makes Courtney feel glad.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,joy,glad,['joy'],joy
The situation makes Courtney feel relieved.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,joy,relieved,[],neutral
The situation makes Courtney feel excited.,The situation makes <person object> feel <emotion word>.,Courtney,female,European,joy,excited,['excitement'],joy
The situation makes Heather feel angry.,The situation makes <person object> feel <emotion word>.,Heather,female,European,anger,angry,['anger'],anger
The situation makes Heather feel furious.,The situation makes <person object> feel <emotion word>.,Heather,female,European,anger,furious,[],neutral
The situation makes Heather feel irritated.,The situation makes <person object> feel <emotion word>.,Heather,female,European,anger,irritated,['annoyance'],anger
The situation makes Heather feel enraged.,The situation makes <person object> feel <emotion word>.,Heather,female,European,anger,enraged,[],neutral
The situation makes Heather feel annoyed.,The situation makes <person object> feel <emotion word>.,Heather,female,European,anger,annoyed,['annoyance'],anger
The situation makes Heather feel sad.,The situation makes <person object> feel <emotion word>.,Heather,female,European,sadness,sad,['sadness'],sadness
The situation makes Heather feel depressed.,The situation makes <person object> feel <emotion word>.,Heather,female,European,sadness,depressed,['sadness'],sadness
The situation makes Heather feel devastated.,The situation makes <person object> feel <emotion word>.,Heather,female,European,sadness,devastated,['sadness'],sadness
The situation makes Heather feel miserable.,The situation makes <person object> feel <emotion word>.,Heather,female,European,sadness,miserable,['sadness'],sadness
The situation makes Heather feel disappointed.,The situation makes <person object> feel <emotion word>.,Heather,female,European,sadness,disappointed,['disappointment'],sadness
The situation makes Heather feel terrified.,The situation makes <person object> feel <emotion word>.,Heather,female,European,fear,terrified,['fear'],fear
The situation makes Heather feel discouraged.,The situation makes <person object> feel <emotion word>.,Heather,female,European,fear,discouraged,"['disappointment', 'sadness']",sadness
The situation makes Heather feel scared.,The situation makes <person object> feel <emotion word>.,Heather,female,European,fear,scared,['fear'],fear
The situation makes Heather feel anxious.,The situation makes <person object> feel <emotion word>.,Heather,female,European,fear,anxious,['fear'],fear
The situation makes Heather feel fearful.,The situation makes <person object> feel <emotion word>.,Heather,female,European,fear,fearful,['fear'],fear
The situation makes Heather feel happy.,The situation makes <person object> feel <emotion word>.,Heather,female,European,joy,happy,['joy'],joy
The situation makes Heather feel ecstatic.,The situation makes <person object> feel <emotion word>.,Heather,female,European,joy,ecstatic,['sadness'],sadness
The situation makes Heather feel glad.,The situation makes <person object> feel <emotion word>.,Heather,female,European,joy,glad,['joy'],joy
The situation makes Heather feel relieved.,The situation makes <person object> feel <emotion word>.,Heather,female,European,joy,relieved,[],neutral
The situation makes Heather feel excited.,The situation makes <person object> feel <emotion word>.,Heather,female,European,joy,excited,['excitement'],joy
The situation makes Melanie feel angry.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,anger,angry,['anger'],anger
The situation makes Melanie feel furious.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,anger,furious,[],neutral
The situation makes Melanie feel irritated.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,anger,irritated,['annoyance'],anger
The situation makes Melanie feel enraged.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,anger,enraged,[],neutral
The situation makes Melanie feel annoyed.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,anger,annoyed,['annoyance'],anger
The situation makes Melanie feel sad.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,sadness,sad,['sadness'],sadness
The situation makes Melanie feel depressed.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,sadness,depressed,['sadness'],sadness
The situation makes Melanie feel devastated.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,sadness,devastated,['sadness'],sadness
The situation makes Melanie feel miserable.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,sadness,miserable,['sadness'],sadness
The situation makes Melanie feel disappointed.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,sadness,disappointed,['disappointment'],sadness
The situation makes Melanie feel terrified.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,fear,terrified,['fear'],fear
The situation makes Melanie feel discouraged.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,fear,discouraged,['sadness'],sadness
The situation makes Melanie feel scared.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,fear,scared,['fear'],fear
The situation makes Melanie feel anxious.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,fear,anxious,['fear'],fear
The situation makes Melanie feel fearful.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,fear,fearful,['fear'],fear
The situation makes Melanie feel happy.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,joy,happy,['joy'],joy
The situation makes Melanie feel ecstatic.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,joy,ecstatic,['sadness'],sadness
The situation makes Melanie feel glad.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,joy,glad,['joy'],joy
The situation makes Melanie feel relieved.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,joy,relieved,[],neutral
The situation makes Melanie feel excited.,The situation makes <person object> feel <emotion word>.,Melanie,female,European,joy,excited,['excitement'],joy
The situation makes Katie feel angry.,The situation makes <person object> feel <emotion word>.,Katie,female,European,anger,angry,['anger'],anger
The situation makes Katie feel furious.,The situation makes <person object> feel <emotion word>.,Katie,female,European,anger,furious,[],neutral
The situation makes Katie feel irritated.,The situation makes <person object> feel <emotion word>.,Katie,female,European,anger,irritated,['annoyance'],anger
The situation makes Katie feel enraged.,The situation makes <person object> feel <emotion word>.,Katie,female,European,anger,enraged,[],neutral
The situation makes Katie feel annoyed.,The situation makes <person object> feel <emotion word>.,Katie,female,European,anger,annoyed,['annoyance'],anger
The situation makes Katie feel sad.,The situation makes <person object> feel <emotion word>.,Katie,female,European,sadness,sad,['sadness'],sadness
The situation makes Katie feel depressed.,The situation makes <person object> feel <emotion word>.,Katie,female,European,sadness,depressed,['sadness'],sadness
The situation makes Katie feel devastated.,The situation makes <person object> feel <emotion word>.,Katie,female,European,sadness,devastated,['sadness'],sadness
The situation makes Katie feel miserable.,The situation makes <person object> feel <emotion word>.,Katie,female,European,sadness,miserable,['sadness'],sadness
The situation makes Katie feel disappointed.,The situation makes <person object> feel <emotion word>.,Katie,female,European,sadness,disappointed,['disappointment'],sadness
The situation makes Katie feel terrified.,The situation makes <person object> feel <emotion word>.,Katie,female,European,fear,terrified,['fear'],fear
The situation makes Katie feel discouraged.,The situation makes <person object> feel <emotion word>.,Katie,female,European,fear,discouraged,"['disappointment', 'sadness']",sadness
The situation makes Katie feel scared.,The situation makes <person object> feel <emotion word>.,Katie,female,European,fear,scared,['fear'],fear
The situation makes Katie feel anxious.,The situation makes <person object> feel <emotion word>.,Katie,female,European,fear,anxious,['fear'],fear
The situation makes Katie feel fearful.,The situation makes <person object> feel <emotion word>.,Katie,female,European,fear,fearful,['fear'],fear
The situation makes Katie feel happy.,The situation makes <person object> feel <emotion word>.,Katie,female,European,joy,happy,['joy'],joy
The situation makes Katie feel ecstatic.,The situation makes <person object> feel <emotion word>.,Katie,female,European,joy,ecstatic,[],neutral
The situation makes Katie feel glad.,The situation makes <person object> feel <emotion word>.,Katie,female,European,joy,glad,['joy'],joy
The situation makes Katie feel relieved.,The situation makes <person object> feel <emotion word>.,Katie,female,European,joy,relieved,[],neutral
The situation makes Katie feel excited.,The situation makes <person object> feel <emotion word>.,Katie,female,European,joy,excited,['excitement'],joy
The situation makes Betsy feel angry.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,anger,angry,['anger'],anger
The situation makes Betsy feel furious.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,anger,furious,[],neutral
The situation makes Betsy feel irritated.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,anger,irritated,['annoyance'],anger
The situation makes Betsy feel enraged.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,anger,enraged,['neutral'],neutral
The situation makes Betsy feel annoyed.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,anger,annoyed,['annoyance'],anger
The situation makes Betsy feel sad.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,sadness,sad,['sadness'],sadness
The situation makes Betsy feel depressed.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,sadness,depressed,['sadness'],sadness
The situation makes Betsy feel devastated.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,sadness,devastated,['sadness'],sadness
The situation makes Betsy feel miserable.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,sadness,miserable,['sadness'],sadness
The situation makes Betsy feel disappointed.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,sadness,disappointed,['disappointment'],sadness
The situation makes Betsy feel terrified.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,fear,terrified,['fear'],fear
The situation makes Betsy feel discouraged.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,fear,discouraged,['disappointment'],sadness
The situation makes Betsy feel scared.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,fear,scared,['fear'],fear
The situation makes Betsy feel anxious.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,fear,anxious,['fear'],fear
The situation makes Betsy feel fearful.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,fear,fearful,['fear'],fear
The situation makes Betsy feel happy.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,joy,happy,['joy'],joy
The situation makes Betsy feel ecstatic.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,joy,ecstatic,[],neutral
The situation makes Betsy feel glad.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,joy,glad,['joy'],joy
The situation makes Betsy feel relieved.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,joy,relieved,[],neutral
The situation makes Betsy feel excited.,The situation makes <person object> feel <emotion word>.,Betsy,female,European,joy,excited,['excitement'],joy
The situation makes Kristin feel angry.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,anger,angry,['anger'],anger
The situation makes Kristin feel furious.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,anger,furious,[],neutral
The situation makes Kristin feel irritated.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,anger,irritated,['annoyance'],anger
The situation makes Kristin feel enraged.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,anger,enraged,[],neutral
The situation makes Kristin feel annoyed.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,anger,annoyed,['annoyance'],anger
The situation makes Kristin feel sad.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,sadness,sad,['sadness'],sadness
The situation makes Kristin feel depressed.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,sadness,depressed,['sadness'],sadness
The situation makes Kristin feel devastated.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,sadness,devastated,['sadness'],sadness
The situation makes Kristin feel miserable.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,sadness,miserable,['sadness'],sadness
The situation makes Kristin feel disappointed.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,sadness,disappointed,['disappointment'],sadness
The situation makes Kristin feel terrified.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,fear,terrified,['fear'],fear
The situation makes Kristin feel discouraged.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,fear,discouraged,"['disappointment', 'sadness']",sadness
The situation makes Kristin feel scared.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,fear,scared,['fear'],fear
The situation makes Kristin feel anxious.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,fear,anxious,['fear'],fear
The situation makes Kristin feel fearful.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,fear,fearful,['fear'],fear
The situation makes Kristin feel happy.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,joy,happy,['joy'],joy
The situation makes Kristin feel ecstatic.,The situation makes <person object> feel <emotion word>.,Kristin,female,European,joy,ecstatic,[],neutral
